subsample_ratio;accuracy;f1;iteration
 0.0000316200; 55.051; 47.953;26
 0.0003162000; 66.162; 63.388;15
 0.0010000000; 61.111; 57.459;13
 0.0031620000; 57.071; 52.514;31
 0.0100000000; 64.646; 61.111;31
 0.0000316200; 59.596; 57.447;2
 0.0000316200; 56.566; 53.763;41
 0.0001000000; 62.626; 56.977;53
 0.0010000000; 62.121; 59.016;11
 0.0031620000; 51.515; 48.387;21
 0.0100000000; 58.081; 56.545;47
 0.0000100000; 57.576; 53.333;4
 0.0000316200; 58.586; 53.409;60
 0.0003162000; 56.061; 50.847;35
 0.0010000000; 55.556; 52.688;56
 0.0031620000; 64.141; 61.202;48
 0.0100000000; 59.091; 55.738;55
 0.0000100000; 58.586; 54.444;36
 0.0000316200; 56.061; 48.521;22
 0.0001000000; 57.071; 53.039;42
 0.0010000000; 56.061; 55.385;4
 0.0031620000; 58.081; 52.571;30
 0.0100000000; 64.141; 59.429;44
 0.0000100000; 58.586; 54.945;61
 0.0001000000; 59.091; 52.632;6
 0.0003162000; 63.636; 59.091;11
 0.0010000000; 56.061; 54.450;19
 0.0031620000; 64.141; 60.335;51
 0.0100000000; 60.101; 55.367;54
 0.0000100000; 55.556; 52.688;23
 0.0000316200; 58.586; 54.444;36
 0.0001000000; 65.152; 61.453;44
 0.0010000000; 63.131; 58.757;50
 0.0031620000; 54.040; 46.784;52
 0.0100000000; 59.091; 57.592;62
 0.0000100000; 51.515; 44.186;1
 0.0000316200; 57.071; 51.429;52
 0.0003162000; 58.586; 53.933;30
 0.0010000000; 60.606; 56.667;18
 0.0031620000; 52.525; 48.352;28
 0.0100000000; 58.586; 56.383;49
 0.0000100000; 54.040; 43.478;62
 0.0000316200; 55.051; 50.279;56
 0.0003162000; 60.101; 58.639;33
 0.0010000000; 62.121; 58.101;35
 0.0031620000; 62.121; 55.621;42
 0.0100000000; 62.121; 59.459;59
 0.0000100000; 56.566; 50.575;12
 0.0000316200; 54.545; 47.674;62
 0.0003162000; 58.081; 55.135;25
 0.0010000000; 59.091; 56.216;33
 0.0031620000; 59.091; 56.684;36
 0.0100000000; 60.101; 54.857;57
 0.0000316200; 55.051; 49.718;4
 0.0000316200; 56.566; 48.193;35
 0.0003162000; 65.152; 63.492;29
 0.0010000000; 56.061; 51.934;21
 0.0031620000; 57.576; 52.809;46
 0.0100000000; 58.081; 52.023;53
 0.0316200000; 57.576; 53.333;20
 0.0316200000; 57.071; 55.497;6
 0.0316200000; 59.091; 55.249;2
 0.0316200000; 58.586; 56.383;5
 0.0316200000; 60.606; 54.651;9
 0.0316200000; 61.616; 55.814;11
 0.0316200000; 57.576; 56.701;10
 0.1000000000; 55.051; 50.829;2
 0.0316200000; 56.566; 47.561;12
 0.1000000000; 57.071; 53.552;1
 0.0316200000; 61.111; 57.459;1
 0.0316200000; 60.101; 58.639;14
 0.0316200000; 60.606; 56.667;0
 0.1000000000; 62.121; 59.459;0
 0.0316200000; 55.556; 52.174;29
 0.0316200000; 62.626; 60.638;8
 0.0316200000; 65.152; 61.017;4
 0.0316200000; 53.030; 50.267;3
 0.0316200000; 62.626; 58.889;19
 0.0316200000; 64.141; 58.960;30
 0.0316200000; 61.616; 57.303;15
 0.0316200000; 60.101; 54.335;13
 0.0316200000; 61.616; 58.696;27
 0.0316200000; 62.121; 54.545;23
 0.1000000000; 56.061; 52.973;10
 0.0316200000; 58.081; 50.888;28
 0.0316200000; 57.071; 52.514;17
 0.0316200000; 62.626; 58.889;31
 0.0316200000; 59.091; 57.592;18
 0.1000000000; 58.586; 55.435;13
 0.1000000000; 60.606; 55.682;30
 0.0316200000; 67.172; 64.088;16
 0.0316200000; 60.101; 58.639;24
 0.0316200000; 60.606; 58.511;22
 0.0316200000; 57.071; 52.514;21
 0.1000000000; 60.606; 58.065;28
 0.1000000000; 61.616; 60.000;31
 0.1000000000; 59.596; 54.545;9
 0.1000000000; 59.596; 58.333;27
 0.0316200000; 60.101; 54.335;7
 0.0316200000; 53.535; 52.577;26
 0.1000000000; 56.566; 56.122;3
 0.0316200000; 60.101; 59.487;25
 0.1000000000; 56.061; 50.286;26
 0.1000000000; 58.586; 54.444;24
